Steps 52
logT
VS
VelocidadFiltracion_Vy_dyn_del_elemento 4 y_del_punto_de_gauss 1
0                                       0
0.1                  7.69391833057666e-09
0.2                  6.08411138291173e-09
0.3                  1.18272243048519e-09
0.4                  -7.86513168189302e-10
0.5                  -3.45440043076475e-09
0.6                  -4.80391187332261e-09
0.7                  -6.20580482961658e-09
0.8                  -6.83572452973899e-09
0.9                  -7.38771434528519e-09
1                    -7.41407448782606e-09
2                    -3.94614015897807e-09
3                    1.12006109937467e-08
4                     8.6994149505186e-09
5                    1.23763379111817e-09
6                    -4.7929459449684e-09
7                    -9.38748483043131e-09
8                    -1.12347944688836e-08
9                    -1.19101618442314e-08
10                   -1.07307473728755e-08
20                   1.73900142904866e-09
30                   2.06504792099554e-08
40                   2.63772496796272e-08
50                   2.27815412327228e-08
60                   1.80821946639817e-08
70                   1.39137413920003e-08
80                   1.05516268638641e-08
90                   8.01832426111348e-09
100                  6.05351408868751e-09
200                  2.00689081480148e-09
300                  -9.83574369139071e-10
400                  -8.22152667547073e-10
500                  -8.07110566472022e-10
600                  -6.6966888321368e-10
700                  -5.84167867795001e-10
800                  -5.01360009165557e-10
900                  -4.42069826623166e-10
1000                 -3.90274550078151e-10
2000                 -2.72570302097954e-10
3000                 -1.61340747262147e-10
4000                 -1.27554023378387e-10
5000                 -9.35771704251432e-11
6000                 -7.0101257679872e-11
7000                 -5.19843228386127e-11
8000                 -3.89221586370908e-11
9000                 -2.87901937991111e-11
10000                -2.16449218914811e-11
20000                -7.45292257711851e-12
30000                1.39020770810667e-12
40000                -2.51656034145411e-13
50000                3.78382786313238e-14
60000                2.31882426126946e-15
